year,month,date,monthly_avg,monthly_min,monthly_max
2015,1,2015-01-30,2.9945,2.88,3.32
2015,2,2015-02-27,2.874736842105263,2.62,3.22
2015,3,2015-03-31,2.830909090909091,2.64,3.27
2015,4,2015-04-30,2.609047619047619,2.5,2.72
2015,5,2015-05-29,2.85,2.68,3.04
2015,6,2015-06-30,2.7836363636363637,2.6,2.94
2015,7,2015-07-31,2.8395652173913044,2.7,2.93
2015,8,2015-08-31,2.7738095238095237,2.65,2.93
2015,9,2015-09-30,2.6609090909090907,2.47,2.74
2015,10,2015-10-30,2.340909090909091,1.98,2.54
2015,11,2015-11-30,2.0923809523809522,1.92,2.19
2015,12,2015-12-31,1.929565217391304,1.63,2.39
2016,1,2016-01-29,2.282380952380952,2.15,2.54
2016,2,2016-02-29,1.9890476190476192,1.62,2.28
2016,3,2016-03-31,1.7282608695652173,1.49,1.98
2016,4,2016-04-29,1.9185714285714286,1.71,2.01
2016,5,2016-05-31,1.9222727272727271,1.77,2.12
2016,6,2016-06-30,2.5863636363636364,2.25,2.94
2016,7,2016-07-29,2.822857142857143,2.7,2.97
2016,8,2016-08-31,2.823913043478261,2.67,2.97
2016,9,2016-09-30,2.9936363636363637,2.77,3.19
2016,10,2016-10-31,2.9785714285714286,2.69,3.25
2016,11,2016-11-30,2.549545454545455,2.08,3.32
2016,12,2016-12-30,3.5913636363636368,3.32,3.8
2017,1,2017-01-31,3.3045454545454547,3.0,3.71
2017,2,2017-02-28,2.853,2.44,3.15
2017,3,2017-03-31,2.8795652173913044,2.5,3.13
2017,4,2017-04-28,3.102,2.97,3.23
2017,5,2017-05-31,3.1495652173913045,3.03,3.27
2017,6,2017-06-30,2.975454545454545,2.85,3.12
2017,7,2017-07-31,2.9842857142857144,2.87,3.12
2017,8,2017-08-31,2.901304347826087,2.76,3.02
2017,9,2017-09-29,2.975714285714286,2.88,3.18
2017,10,2017-10-31,2.8786363636363634,2.73,2.99
2017,11,2017-11-30,3.0136363636363637,2.68,3.18
2017,12,2017-12-29,2.8225000000000002,2.6,3.69
