date,year,month,fuel_type,generation_mwh,pct_of_total_monthly
2015-01-01,2015,1,coal,11365000.0,29.7794
2015-01-01,2015,1,natural_gas,19252000.0,50.4454
2015-01-01,2015,1,nuclear,3817000.0,10.0016
2015-01-01,2015,1,hydro,131000.0,0.3433
2015-01-01,2015,1,wind,3031000.0,7.942
2015-01-01,2015,1,solar,32000.0,0.0838
2015-01-01,2015,1,other,536000.0,1.4045
2015-02-01,2015,2,coal,9146000.0,27.3431
2015-02-01,2015,2,natural_gas,16980000.0,50.7638
2015-02-01,2015,2,nuclear,3442000.0,10.2903
2015-02-01,2015,2,hydro,8000.0,0.0239
2015-02-01,2015,2,wind,3268000.0,9.7701
2015-02-01,2015,2,solar,33000.0,0.0987
2015-02-01,2015,2,other,572000.0,1.7101
2015-03-01,2015,3,coal,7403000.0,22.4048
2015-03-01,2015,3,natural_gas,18801000.0,56.9003
2015-03-01,2015,3,nuclear,3694000.0,11.1797
2015-03-01,2015,3,hydro,81000.0,0.2451
2015-03-01,2015,3,wind,2544000.0,7.6993
2015-03-01,2015,3,solar,42000.0,0.1271
2015-03-01,2015,3,other,477000.0,1.4436
2015-04-01,2015,4,coal,7224000.0,22.5687
2015-04-01,2015,4,natural_gas,17317000.0,54.1004
2015-04-01,2015,4,nuclear,2697000.0,8.4258
2015-04-01,2015,4,hydro,138000.0,0.4311
2015-04-01,2015,4,wind,4099000.0,12.8058
2015-04-01,2015,4,solar,45000.0,0.1406
2015-04-01,2015,4,other,489000.0,1.5277
2015-05-01,2015,5,coal,9416000.0,26.227
2015-05-01,2015,5,natural_gas,17995000.0,50.1226
2015-05-01,2015,5,nuclear,3425000.0,9.5399
2015-05-01,2015,5,hydro,130000.0,0.3621
2015-05-01,2015,5,wind,4371000.0,12.1748
2015-05-01,2015,5,solar,47000.0,0.1309
2015-05-01,2015,5,other,518000.0,1.4428
2015-06-01,2015,6,coal,12734000.0,30.576
2015-06-01,2015,6,natural_gas,21171000.0,50.8344
2015-06-01,2015,6,nuclear,3568000.0,8.5672
2015-06-01,2015,6,hydro,159000.0,0.3818
2015-06-01,2015,6,wind,3411000.0,8.1903
2015-06-01,2015,6,solar,63000.0,0.1513
2015-06-01,2015,6,other,541000.0,1.299
2015-07-01,2015,7,coal,13390000.0,28.5288
2015-07-01,2015,7,natural_gas,25090000.0,53.4569
2015-07-01,2015,7,nuclear,3715000.0,7.9152
2015-07-01,2015,7,hydro,47000.0,0.1001
2015-07-01,2015,7,wind,4059000.0,8.6481
2015-07-01,2015,7,solar,70000.0,0.1491
2015-07-01,2015,7,other,564000.0,1.2017
2015-08-01,2015,8,coal,13450000.0,28.7007
2015-08-01,2015,8,natural_gas,25789000.0,55.0306
2015-08-01,2015,8,nuclear,3707000.0,7.9103
2015-08-01,2015,8,hydro,44000.0,0.0939
2015-08-01,2015,8,wind,3218000.0,6.8668
