year,month,month_date,total_generation_mwh,renewable_mwh,wind_mwh,solar_mwh,gas_mwh,coal_mwh,renewable_pct,solar_pct,wind_pct,renewable_pct_prior_year,renewable_yoy_change,season,peak_season_flag,henry_hub_price,henry_hub_max,henry_hub_min,implied_wholesale_price_proxy
2015,1,2015-01-01,38164000.0,3063000.0,3031000.0,32000.0,19252000.0,11365000.0,8.026,0.084,7.942,,,winter,1,2.9945,3.32,2.88,52.40375
2015,2,2015-02-01,33449000.0,3301000.0,3268000.0,33000.0,16980000.0,9146000.0,9.869,0.099,9.77,,,winter,1,2.874736842105263,3.22,2.62,50.3078947368421
2015,3,2015-03-01,33042000.0,2586000.0,2544000.0,42000.0,18801000.0,7403000.0,7.826,0.127,7.699,,,shoulder,0,2.830909090909091,3.27,2.64,49.540909090909096
2015,4,2015-04-01,32009000.0,4144000.0,4099000.0,45000.0,17317000.0,7224000.0,12.946,0.141,12.806,,,shoulder,0,2.609047619047619,2.72,2.5,45.65833333333333
2015,5,2015-05-01,35902000.0,4418000.0,4371000.0,47000.0,17995000.0,9416000.0,12.306,0.131,12.175,,,shoulder,0,2.85,3.04,2.68,49.875
2015,6,2015-06-01,41647000.0,3474000.0,3411000.0,63000.0,21171000.0,12734000.0,8.342,0.151,8.19,,,summer,1,2.7836363636363637,2.94,2.6,48.71363636363636
2015,7,2015-07-01,46935000.0,4129000.0,4059000.0,70000.0,25090000.0,13390000.0,8.797,0.149,8.648,,,summer,1,2.8395652173913044,2.93,2.7,49.69239130434783
2015,8,2015-08-01,46863000.0,3291000.0,3218000.0,73000.0,25789000.0,13450000.0,7.023,0.156,6.867,,,summer,1,2.7738095238095237,2.93,2.65,48.541666666666664
2015,9,2015-09-01,41496000.0,3528000.0,3465000.0,63000.0,21630000.0,12171000.0,8.502,0.152,8.35,,,shoulder,0,2.6609090909090907,2.74,2.47,46.56590909090909
2015,10,2015-10-01,35261000.0,3717000.0,3661000.0,56000.0,18870000.0,9726000.0,10.541,0.159,10.383,,,shoulder,0,2.340909090909091,2.54,1.98,40.965909090909086
2015,11,2015-11-01,31934000.0,4761000.0,4722000.0,39000.0,16358000.0,7958000.0,14.909,0.122,14.787,,,shoulder,0,2.0923809523809522,2.19,1.92,36.61666666666667
2015,12,2015-12-01,34793000.0,5046000.0,4984000.0,62000.0,18478000.0,7573000.0,14.503,0.178,14.325,,,winter,1,1.929565217391304,2.39,1.63,33.76739130434782
2016,1,2016-01-01,35812000.0,4515000.0,4451000.0,64000.0,18494000.0,8524000.0,12.608,0.179,12.429,8.026,4.582000000000001,winter,1,2.282380952380952,2.54,2.15,39.94166666666666
2016,2,2016-02-01,31654000.0,5197000.0,5120000.0,77000.0,16120000.0,6203000.0,16.418,0.243,16.175,9.869,6.5489999999999995,winter,1,1.9890476190476192,2.28,1.62,34.80833333333334
2016,3,2016-03-01,32809000.0,5715000.0,5635000.0,80000.0,18122000.0,4503000.0,17.419,0.244,17.175,7.826,9.593,shoulder,0,1.7282608695652173,1.98,1.49,30.2445652173913
2016,4,2016-04-01,32743000.0,4823000.0,4737000.0,86000.0,17251000.0,6334000.0,14.73,0.263,14.467,12.946,1.7840000000000007,shoulder,0,1.9185714285714286,2.01,1.71,33.575
2016,5,2016-05-01,36972000.0,5258000.0,5173000.0,85000.0,19321000.0,8880000.0,14.222,0.23,13.992,12.306,1.9160000000000004,shoulder,0,1.9222727272727271,2.12,1.77,33.63977272727273
2016,6,2016-06-01,42872000.0,3885000.0,3782000.0,103000.0,21595000.0,12959000.0,9.062,0.24,8.822,8.342,0.7199999999999989,summer,1,2.5863636363636364,2.94,2.25,45.26136363636364
