datetime,year,month,day,hour,demand_mw,baseline_load_mw,demand_surge_mw,outage_period_flag,peak_demand_in_period,min_demand_in_period,avg_baseline
2021-02-10 00:00:00,2021,2,10,0,47723.784739,37135.69685387719,10588.087885122812,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 01:00:00,2021,2,10,1,40520.626171,35786.84865494737,4733.777516052636,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 02:00:00,2021,2,10,2,39990.922868,35100.17627763158,4890.746590368421,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 03:00:00,2021,2,10,3,39947.716182,34877.255225140354,5070.4609568596425,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 04:00:00,2021,2,10,4,40278.917793,35047.52129968421,5231.396493315791,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 05:00:00,2021,2,10,5,41265.161339,35919.61006805262,5345.551270947377,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 06:00:00,2021,2,10,6,43524.863081,38045.805104578954,5479.057976421049,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 07:00:00,2021,2,10,7,46923.868073,41270.49083533332,5653.377237666675,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 08:00:00,2021,2,10,8,49135.612187,42620.682086210516,6514.930100789483,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 09:00:00,2021,2,10,9,49746.648565,42497.762383403504,7248.886181596499,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 10:00:00,2021,2,10,10,50387.238746,42272.31935943859,8114.919386561414,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 11:00:00,2021,2,10,11,51006.921676,41856.66013261403,9150.261543385968,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 12:00:00,2021,2,10,12,51233.970973,41213.29881550878,10020.672157491223,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 13:00:00,2021,2,10,13,51128.455249,40532.008043877184,10596.447205122815,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 14:00:00,2021,2,10,14,51082.007297,40049.10537268421,11032.901924315789,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 15:00:00,2021,2,10,15,50906.943592,39598.17088292982,11308.772709070181,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 16:00:00,2021,2,10,16,50961.815941,39352.67713650876,11609.138804491238,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 17:00:00,2021,2,10,17,51614.663459,39539.544454228075,12075.119004771928,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 18:00:00,2021,2,10,18,52709.78084,40170.26836966667,12539.512470333328,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 19:00:00,2021,2,10,19,53952.020989,41752.942725350884,12199.078263649113,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 20:00:00,2021,2,10,20,53979.784198,42331.17587022807,11648.60832777193,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 21:00:00,2021,2,10,21,53332.553959,41967.49218668421,11365.061772315785,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 22:00:00,2021,2,10,22,51937.39193,40941.10521463158,10996.28671536842,0,69692.485103,33953.36042,39539.96555889257
2021-02-10 23:00:00,2021,2,10,23,49696.5785,39080.556060210525,10616.022439789478,0,69692.485103,33953.36042,39539.96555889257
